model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
DIXMAANB    CG 3000 1.000e+00 4.724e+04 1.9e-03 2.0e+03    8    8   14    7    0    7    0  true
DIXMAANC    CG 3000 1.000e+00 8.248e+04 1.6e-04 3.7e+03   10   10   18    9    0    9    0  true
DIXMAAND    CG 3000 1.000e+00 1.586e+05 4.7e-03 7.6e+03   10   10   18    9    0    9    0  true
DIXMAANE    CG 3000 1.000e+00 2.209e+04 5.7e-05 1.1e+03   11   11  251   10    0   10    0  true
DIXMAANF    CG 3000 1.000e+00 4.104e+04 9.8e-04 1.9e+03   23   12  587   22    0   11   11  true
DIXMAANG    CG 3000 1.000e+00 7.607e+04 2.3e-03 3.6e+03   27   13  892   26    0   12   14  true
DIXMAANH    CG 3000 1.000e+00 1.517e+05 4.8e-03 7.4e+03   29   14  294   28    1   12   15  true
DIXMAANI    CG 3000 1.000e+00 2.002e+04 2.7e-04 1.0e+03   11   11  762   10    0   10    0  true
DIXMAANJ    CG 3000 1.000e+00 3.900e+04 4.5e-04 1.8e+03   28   14  815   27    0   13   14  true
DIXMAANK    CG 3000 1.000e+00 7.400e+04 1.8e-03 3.6e+03   13   13   68   12    0   12    0  true
DIXMAANL    CG 3000 1.001e+00 1.496e+05 5.0e-03 7.4e+03   13   13   49   12    0   12    0  true
DIXMAANM    CG 3000 1.000e+00 9.358e+03 5.7e-05 4.4e+02   10   10 1589    9    0    9    0  true
DIXMAANN    CG 3000 1.000e+00 2.018e+04 5.9e-05 1.0e+03   29   15 1922   28    0   14   14  true
DIXMAANO    CG 3000 1.000e+00 3.635e+04 1.4e-03 2.0e+03   27   14  987   26    0   13   13  true
DIXMAANP    CG 3000 1.002e+00 7.128e+04 3.2e-03 4.0e+03   13   13   85   12    0   12    0  true
DIXON3DQ    CG 10000 5.207e-10 8.000e+00 6.4e-06 5.7e+00    6    6 10794    5    0    5    0  true
DQDRTIC    CG 5000 1.111e-09 9.041e+06 4.3e-04 8.5e+04    8    8   18    7    0    7    0  true
DQRTIC    CG 5000 6.837e+09 6.241e+17 1.2e+07 1.3e+13   20   20   53   19    0   19    0  true
EDENSCH    CG 2000 1.200e+04 7.358e+06 7.5e-02 1.0e+05   14   14   37   13    2   11    0  true
  EG2    CG 1000 -9.989e+02 -8.406e+02 6.0e-09 5.4e+02    4    4    6    3    1    2    0  true
ENGVAL1    CG 5000 5.549e+03 2.949e+05 5.8e-04 8.8e+03   11   11   31   10    0   10    0  true
ERRINROS    CG   50 4.009e+01 1.102e+05 1.0e-01 1.2e+05   62   40  586   61   18   21   22  true
ERRINRSM    CG   50 3.856e+01 1.529e+05 1.1e-01 1.3e+05   41   24  331   40    7   16   17  true
EXTROSNB    CG 1000 5.872e-03 3.996e+05 3.0e-02 3.8e+04   54   31  269   53   11   19   23  true
FLETBV3M    CG 5000 -2.394e+05 1.982e+02 1.3e-06 4.4e+01   18   14   34   17    4    9    4  true
FLETCBV2    CG 5000 -5.003e-01 -5.003e-01 1.7e-08 4.4e-06    2    2 4943    1    0    1    0  true
FLETCBV3    CG 5000 -7.478e+12 1.982e+02 3.7e+01 4.4e+01 10001 9993 24984 10000 9970   22    8 false
FLETCHBV    CG 5000 -1.074e+21 -2.302e+11 3.8e+09 2.8e+09 10001 9999 24970 10000 9982   16    2 false
FLETCHCR    CG 1000 1.308e-12 9.990e+02 4.4e-05 6.3e+01 2390 1415 29831 2389  435  979  975  true
FMINSRF2    CG 5625 1.000e+00 2.846e+01 3.1e-07 3.3e-01 1473 1469 3612 1472 1461    7    4  true
FMINSURF    CG 5625 1.000e+00 2.859e+01 4.0e-09 3.3e-01 1510 1506 3631 1509 1497    8    4  true
FREUROTH    CG 5000 6.082e+05 5.049e+06 5.4e-02 5.5e+04   11   11   28   10    5    5    0  true
GENHUMPS    CG 5000 2.154e+01 1.281e+08 3.1e+00 6.0e+03 10001 9726 32001 10000 9455  270  275 false
GENROSE    CG  500 1.000e+00 1.870e+03 7.0e-05 3.0e+02  582  465 4275  581  345  119  117  true
HILBERTB    CG   10 3.437e-14 5.102e+02 8.4e-07 1.1e+02    6    6   11    5    0    5    0  true
INDEFM    CG 100000 -9.865e+06 9.207e+04 1.3e-05 3.6e+02  377  328 1240  376  276   51   49  true
JIMACK    CG 3549 8.680e-01 1.289e+00 2.5e-07 1.4e+00   61   40 46794   60   20   19   21  true
LIARWHD    CG 5000 1.535e-02 2.925e+06 2.5e-01 4.8e+05   14   14   33   13    3   10    0  true
MANCINO    CG  100 2.340e-02 1.103e+12 4.2e+02 2.9e+09   12   11   23   11    0   10    1  true
MODBEALE    CG 20000 3.158e-04 1.264e+07 2.8e-02 3.1e+05   11   11   65   10    1    9    0  true
MOREBV    CG 5000 1.053e-11 1.597e-07 1.0e-07 8.0e-04    3    3 2692    2    0    2    0  true
NCB20B    CG 5000 7.351e+03 1.000e+04 7.9e-05 2.8e+02   31   21 1535   30   15    5   10  true
NCB20    CG 5010 -1.460e+03 1.000e+04 6.0e-05 2.8e+02   71   60  412   70   45   14   11  true
NONCVXU2    CG 5000 1.159e+04 3.235e+11 9.5e-01 3.3e+06 3628 3558 12209 3627 3482   75   70  true
NONCVXUN    CG 5000 1.227e+04 3.335e+11 2.8e+00 3.6e+06 3930 3882 12459 3929 3834   47   48  true
NONDIA    CG 5000 2.570e-04 2.000e+06 1.3e-02 2.0e+06    3    3    4    2    0    2    0  true
NONDQUAR    CG 5000 1.581e-03 5.006e+03 1.0e-02 2.0e+04   31   19  246   30    8   10   12  true
OSBORNEB    CG   11 4.014e-02 3.166e+00 5.8e-08 6.5e+00   31   24  230   30   13   10    7  true
OSCIGRAD    CG 100000 1.146e-03 6.121e+08 3.9e+02 2.2e+09   10   10   41    9    0    9    0  true
OSCIPATH    CG   10 9.997e-01 1.000e+00 1.7e-02 1.0e+00 10001 6194 83375 10000 2393 3800 3807 false
PARKCH    CG   15 1.624e+03 2.150e+03 4.6e-03 2.5e+04   32   23  223   31    7   15    9  true
PENALTY1    CG 1000 8.186e+08 1.114e+17 1.9e+07 2.4e+13   18   18   34   17    0   17    0  true
PENALTY2    CG  200 4.712e+13 4.712e+13 1.3e+00 1.6e+07   12   12  136   11    2    9    0  true
PENALTY3    CG  200 1.002e-03 1.584e+09 3.5e-01 2.2e+06   35   26  129   34    8   17    9  true
POWELLSG    CG 5000 2.277e-03 2.688e+05 1.4e-02 1.6e+04   14   14   57   13    1   12    0  true
POWER    CG 10000 3.252e+07 2.501e+15 5.6e+07 1.2e+14   14   14   55   13    0   13    0  true
QUARTC    CG 5000 6.837e+09 6.241e+17 1.2e+07 1.3e+13   20   20   53   19    0   19    0  true
SCHMVETT    CG 5000 -1.499e+04 -1.429e+04 7.3e-06 7.5e+01    7    7   50    6    3    3    0  true
SCURLY10    CG 10000 2.554e+24 7.006e+31 1.2e+24 1.3e+30   14   14   76   13    0   13    0  true
SCURLY20    CG 10000 3.493e+25 9.031e+32 1.5e+25 1.6e+31   14   14   71   13    0   13    0  true
SCURLY30    CG 10000 1.703e+26 4.163e+33 7.1e+25 7.5e+31   14   14   66   13    0   13    0  true
SENSORS    CG  100 -2.041e+03 -5.648e+01 2.1e-05 7.1e+01   17   14   48   16   10    3    3  true
SINQUAD    CG 5000 -6.757e+06 6.561e-01 6.5e-05 5.1e+03   17   17   45   16   11    5    0  true
SPARSINE    CG 5000 1.499e-03 5.173e+07 7.4e-01 3.0e+06   10   10  461    9    5    4    0  true
SPARSQUR    CG 10000 1.322e-01 1.406e+07 9.9e-01 1.2e+06   13   13   41   12    0   12    0  true
SPMSRTLS    CG 4999 2.434e-10 4.141e+03 4.2e-05 7.7e+01   32   25  523   31   14   10    7  true
SROSENBR    CG 5000 1.916e-08 4.850e+04 1.2e-04 1.1e+04    8    8   16    7    1    6    0  true
SSBRYBND    CG 5000 2.774e-04 1.249e+05 5.6e-01 9.0e+05 6086 4554 143194 6085 3021 1532 1532  true
SSCOSINE    CG 5000 -3.992e+03 4.387e+03 6.0e+03 5.9e+03 10001 9847 1955112 10000 9699  147  154 false
STRATEC    CG   10 2.212e+03 2.818e+03 2.7e-02 4.7e+04   52   40  310   51   14   25   12  true
TESTQUAD    CG 5000 4.323e-01 1.250e+09 7.4e+00 4.4e+07    9    9  632    8    0    8    0  true
TOINTGOR    CG   50 1.374e+03 5.074e+03 3.8e-04 6.0e+02    8    8  104    7    3    4    0  true
TOINTGSS    CG 5000 1.000e+01 4.499e+04 4.5e-07 4.2e+02    9    9   25    8    2    6    0  true
TOINTPSP    CG   50 2.256e+02 1.828e+03 1.0e-06 1.1e+02   51   38  193   50   16   21   13  true
TOINTQOR    CG   50 1.175e+03 2.335e+03 4.9e-05 2.1e+02    7    7   44    6    0    6    0  true
TQUARTIC    CG 5000 2.439e-21 8.100e-01 1.4e-08 1.8e+00   11   11   24   10    4    6    0  true
TRIDIA    CG 5000 1.432e-05 1.250e+07 9.7e-02 4.1e+05    9    9  648    8    0    8    0  true
VARDIM    CG  200 1.149e+08 3.257e+16 7.3e+09 1.6e+16   13   13   24   12    0   12    0  true
VAREIGVL    CG   50 6.049e-14 1.126e+02 9.6e-07 4.2e+01    9    8   40    8    7    0    1  true
WATSON    CG   12 1.597e-07 3.000e+01 1.2e-05 2.1e+02   13   13   62   12    2   10    0  true
WOODS    CG 4000 7.877e+03 1.919e+07 5.9e-02 5.2e+05    9    9   25    8    0    8    0  true
brownden    CG    4 8.582e+04 7.927e+06 1.2e-01 2.1e+06    9    9   29    8    1    7    0  true
cliff    CG    2 4.032e+02 4.852e+08 1.1e+04 1.4e+10   15   15   28   14    0   14    0  true
clplatea    CG 5041 -1.259e-02 0.000e+00 3.2e-07 1.0e-01   28   22 1150   27   14    7    6  true
clplateb    CG 5041 -5.095e-03 0.000e+00 2.2e-07 1.2e-02    4    4  459    3    1    2    0  true
clplatec    CG 5041 -5.021e-03 0.000e+00 2.7e-08 9.9e-02    5    5 9374    4    0    4    0  true
nasty    CG    2 2.674e-32 5.000e-01 6.5e-07 1.0e+00    2    2    3    1    0    1    0  true
palmer1c    CG    8 2.989e+03 3.453e+08 5.5e+01 5.2e+08    4    4   12    3    0    3    0  true
palmer1d    CG    7 2.790e+01 2.873e+07 3.6e-01 4.4e+07    6    6   22    5    0    5    0  true
palmer2c    CG    8 9.807e+01 2.689e+07 4.7e+00 3.9e+07    4    4   12    3    0    3    0  true
palmer3c    CG    8 5.431e+01 8.122e+06 3.4e+00 1.1e+07    4    4   12    3    0    3    0  true
palmer4c    CG    8 6.115e+01 8.094e+06 3.6e+00 1.1e+07    4    4   12    3    0    3    0  true
palmer5c    CG    6 2.128e+00 2.549e+04 5.1e-04 1.1e+03    7    7   20    6    0    6    0  true
palmer5d    CG    4 8.734e+01 2.226e+04 8.5e-13 2.0e+03    5    5   15    4    0    4    0  true
palmer6c    CG    8 9.721e-01 7.722e+05 2.5e-02 1.1e+06    4    4   16    3    0    3    0  true
palmer7c    CG    8 4.374e+01 3.205e+06 2.3e+00 4.7e+06    4    4   13    3    0    3    0  true
palmer8c    CG    8 2.238e+01 8.503e+05 1.1e+00 1.2e+06    4    4   12    3    0    3    0  true
beale    CG    2 4.557e-01 1.420e+01 2.7e-05 2.8e+01  242  162  635  241   80   81   80  true
brownbs    CG    2 0.000e+00 1.000e+12 0.0e+00 2.0e+06   27   25   61   26    9   15    2  true
chnrosnb_mod    CG  100 4.134e-07 1.764e+04 3.3e-03 6.4e+03  173  117 1768  172   59   57   56  true
errinros_mod    CG  100 7.846e+01 3.140e+05 1.2e-01 1.9e+05   39   23  314   38    6   16   16  true
fletcbv3_mod    CG  100 -2.034e+00 -1.879e-02 5.0e-07 1.6e-03   32   26   73   31   20    5    6  true
genrose_nash    CG  100 1.000e+00 4.041e+02 6.4e-05 1.3e+02  164  128 1100  163   89   38   36  true
meyer3    CG    3 1.125e+05 1.694e+09 7.1e+03 8.7e+10   14   10   34   13    4    5    4  true
scosine    CG  100 -9.900e+01 8.688e+01 5.8e-04 8.1e+02  336  301 27244  335  141  159   35  true
