model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
DIXMAANH    CR 3000 1.001e+00 1.517e+05 2.0e-03 7.4e+03   13   13   60   12    0   12    0  true
DIXMAANI    CR 3000 1.000e+00 2.002e+04 2.4e-04 1.0e+03   11   11  297   10    0   10    0  true
DIXMAANJ    CR 3000 1.000e+00 3.900e+04 9.4e-04 1.8e+03   13   13   79   12    0   12    0  true
DIXMAANK    CR 3000 1.001e+00 7.400e+04 2.5e-03 3.6e+03   13   13   56   12    0   12    0  true
DIXMAANL    CR 3000 1.001e+00 1.496e+05 5.7e-03 7.4e+03   13   13   46   12    0   12    0  true
DIXMAANM    CR 3000 1.000e+00 9.358e+03 6.1e-05 4.4e+02   10   10  507    9    0    9    0  true
DIXMAANN    CR 3000 1.001e+00 2.018e+04 9.3e-04 1.0e+03   13   13  123   12    0   12    0  true
DIXMAANO    CR 3000 1.000e+00 3.635e+04 6.3e-04 2.0e+03   14   14  134   13    0   13    0  true
DIXMAANP    CR 3000 1.001e+00 7.128e+04 1.7e-03 4.0e+03   14   14   89   13    0   13    0  true
DIXON3DQ    CR 10000 1.195e-04 8.000e+00 4.9e-06 5.7e+00    6    6 10799    5    0    5    0  true
DQDRTIC    CR 5000 6.563e-06 9.041e+06 5.1e-03 8.5e+04    8    8   18    7    0    7    0  true
DQRTIC    CR 5000 1.741e+09 6.241e+17 4.2e+06 1.3e+13   21   21   54   20    0   20    0  true
EDENSCH    CR 2000 1.200e+04 7.358e+06 2.4e-02 1.0e+05   13   13   30   12    1   11    0  true
  EG2    CR 1000 -9.989e+02 -8.406e+02 6.0e-09 5.4e+02    4    4    6    3    1    2    0  true
ENGVAL1    CR 5000 5.549e+03 2.949e+05 7.9e-04 8.8e+03   11   11   29   10    0   10    0  true
ERRINROS    CR   50 4.034e+01 1.102e+05 1.1e-01 1.2e+05   42   26  382   41   10   15   16  true
ERRINRSM    CR   50 3.866e+01 1.529e+05 8.4e-02 1.3e+05   36   20  300   35    3   16   16  true
EXTROSNB    CR 1000 4.800e-03 3.996e+05 1.5e-02 3.8e+04   61   34  343   60   10   23   27  true
FLETBV3M    CR 5000 -2.394e+05 1.982e+02 5.0e-06 4.4e+01   16   12   30   15    4    7    4  true
FLETCBV2    CR 5000 -5.003e-01 -5.003e-01 1.7e-08 4.4e-06    2    2 4843    1    0    1    0  true
FLETCBV3    CR 5000 -2.413e+09 1.982e+02 3.7e+01 4.4e+01 10001 9741 25404 10000 9475  265  260 false
FLETCHBV    CR 5000 -3.900e+17 -2.302e+11 3.6e+09 2.8e+09 10001 10000 25327 10000 9992    7    1 false
FLETCHCR    CR 1000 4.808e-11 9.990e+02 1.8e-05 6.3e+01 2348 1565 28035 2347  777  787  783  true
FMINSRF2    CR 5625 1.000e+00 2.846e+01 2.2e-09 3.3e-01  221  212 1522  220  200   11    9  true
FMINSURF    CR 5625 1.000e+00 2.859e+01 5.0e-07 3.3e-01  710  703 2689  709  692   10    7  true
FREUROTH    CR 5000 6.082e+05 5.049e+06 4.2e-03 5.5e+04   12   12   34   11    5    6    0  true
GENHUMPS    CR 5000 1.233e-09 1.281e+08 2.2e-05 6.0e+03 8272 8098 30716 8271 7926  171  174  true
GENROSE    CR  500 1.000e+00 1.870e+03 1.8e-04 3.0e+02  376  314 4142  375  250   63   62  true
HILBERTB    CR   10 2.216e-14 5.102e+02 6.8e-07 1.1e+02    6    6   11    5    0    5    0  true
INDEFM    CR 100000 -1.005e+07 9.207e+04 1.3e-06 3.6e+02   24   20   69   23    6   13    4  true
JIMACK    CR 3549 8.668e-01 1.289e+00 3.8e-08 1.4e+00   38   24 60702   37   11   12   14  true
LIARWHD    CR 5000 1.825e-02 2.925e+06 2.7e-01 4.8e+05   13   13   31   12    3    9    0  true
MANCINO    CR  100 5.784e-02 1.103e+12 6.6e+02 2.9e+09   12   11   24   11    1    9    1  true
MODBEALE    CR 20000 1.041e-02 1.264e+07 2.1e-01 3.1e+05   10   10   53    9    0    9    0  true
MOREBV    CR 5000 3.637e-11 1.597e-07 9.5e-08 8.0e-04    3    3  451    2    0    2    0  true
NCB20B    CR 5000 7.351e+03 1.000e+04 2.1e-04 2.8e+02   28   17  814   27   10    6   11  true
NCB20    CR 5010 -1.459e+03 1.000e+04 2.4e-05 2.8e+02   64   52  526   63   39   12   12  true
NONCVXU2    CR 5000 1.326e+04 3.235e+11 3.1e+00 3.3e+06 1007  932 4987 1006  853   78   75  true
NONCVXUN    CR 5000 1.326e+04 3.335e+11 3.5e+00 3.6e+06  928  842 4697  927  756   85   86  true
NONDIA    CR 5000 2.570e-04 2.000e+06 1.3e-02 2.0e+06    3    3    4    2    0    2    0  true
NONDQUAR    CR 5000 1.519e-03 5.006e+03 5.7e-03 2.0e+04   31   19  229   30    8   10   12  true
OSBORNEB    CR   11 4.014e-02 3.166e+00 5.8e-07 6.5e+00   26   21  186   25    9   11    5  true
OSCIGRAD    CR 100000 1.062e-03 6.121e+08 2.7e+02 2.2e+09   10   10   42    9    0    9    0  true
OSCIPATH    CR   10 9.997e-01 1.000e+00 1.5e-02 1.0e+00 10001 6302 86189 10000 2609 3692 3699 false
PARKCH    CR   15 1.624e+03 2.150e+03 1.8e-02 2.5e+04   28   20  234   27    5   14    8  true
PENALTY1    CR 1000 8.186e+08 1.114e+17 1.9e+07 2.4e+13   18   18   34   17    0   17    0  true
PENALTY2    CR  200 4.712e+13 4.712e+13 3.6e+00 1.6e+07   12   12  127   11    1   10    0  true
PENALTY3    CR  200 1.002e-03 1.584e+09 1.9e-01 2.2e+06   32   25  117   31    9   15    7  true
POWELLSG    CR 5000 2.085e-03 2.688e+05 1.3e-02 1.6e+04   14   14   57   13    1   12    0  true
POWER    CR 10000 6.432e+07 2.501e+15 6.0e+07 1.2e+14   14   14   54   13    0   13    0  true
QUARTC    CR 5000 1.741e+09 6.241e+17 4.2e+06 1.3e+13   21   21   54   20    0   20    0  true
SCHMVETT    CR 5000 -1.499e+04 -1.429e+04 2.5e-06 7.5e+01    8    8   55    7    3    4    0  true
SCURLY10    CR 10000 1.602e+24 7.006e+31 4.1e+23 1.3e+30   15   15   74   14    0   14    0  true
SCURLY20    CR 10000 2.013e+25 9.031e+32 5.3e+24 1.6e+31   15   15   72   14    0   14    0  true
SCURLY30    CR 10000 8.866e+25 4.163e+33 2.4e+25 7.5e+31   15   15   71   14    0   14    0  true
SENSORS    CR  100 -2.055e+03 -5.648e+01 1.9e-10 7.1e+01   17   15   51   16   11    3    2  true
SINQUAD    CR 5000 -6.757e+06 6.561e-01 6.8e-05 5.1e+03   14   14   38   13    7    6    0  true
SPARSINE    CR 5000 3.181e-02 5.173e+07 8.0e-01 3.0e+06   10   10  262    9    5    4    0  true
SPARSQUR    CR 10000 1.693e-01 1.406e+07 1.1e+00 1.2e+06   13   13   39   12    0   12    0  true
SPMSRTLS    CR 4999 1.647e-08 4.141e+03 5.0e-05 7.7e+01   14   14  207   13    9    4    0  true
SROSENBR    CR 5000 1.831e-08 4.850e+04 1.2e-04 1.1e+04    8    8   16    7    1    6    0  true
SSBRYBND    CR 5000 3.144e-03 1.249e+05 5.7e-01 9.0e+05   28   20 7987   27    2   17    8  true
SSCOSINE    CR 5000 -4.994e+03 4.387e+03 5.8e-03 5.9e+03  391  309 1056656  390  152  156   82  true
STRATEC    CR   10 2.212e+03 2.818e+03 2.6e-02 4.7e+04   50   40  306   49   14   25   10  true
TESTQUAD    CR 5000 7.180e+00 1.250e+09 5.6e+00 4.4e+07    9    9  456    8    0    8    0  true
TOINTGOR    CR   50 1.374e+03 5.074e+03 2.3e-05 6.0e+02    9    9  125    8    3    5    0  true
TOINTGSS    CR 5000 1.000e+01 4.499e+04 1.0e-05 4.2e+02    9    9   24    8    3    5    0  true
TOINTPSP    CR   50 2.256e+02 1.828e+03 6.7e-05 1.1e+02   29   24  126   28   12   11    5  true
TOINTQOR    CR   50 1.175e+03 2.335e+03 1.8e-05 2.1e+02    7    7   47    6    0    6    0  true
TQUARTIC    CR 5000 2.453e-21 8.100e-01 1.4e-08 1.8e+00   11   11   24   10    4    6    0  true
TRIDIA    CR 5000 4.377e-04 1.250e+07 1.0e-01 4.1e+05    9    9  580    8    0    8    0  true
VARDIM    CR  200 1.149e+08 3.257e+16 7.3e+09 1.6e+16   13   13   24   12    0   12    0  true
VAREIGVL    CR   50 6.242e-11 1.126e+02 2.7e-05 4.2e+01    8    7   33    7    6    0    1  true
WATSON    CR   12 1.602e-07 3.000e+01 4.8e-06 2.1e+02   14   14   69   13    3   10    0  true
WOODS    CR 4000 7.877e+03 1.919e+07 4.4e-02 5.2e+05    9    9   25    8    0    8    0  true
brownden    CR    4 8.582e+04 7.927e+06 1.9e-01 2.1e+06    9    9   27    8    1    7    0  true
cliff    CR    2 4.032e+02 4.852e+08 1.1e+04 1.4e+10   15   15   28   14    0   14    0  true
clplatea    CR 5041 -1.259e-02 0.000e+00 5.2e-07 1.0e-01   21   15  681   20    8    6    6  true
clplateb    CR 5041 -5.095e-03 0.000e+00 3.6e-07 1.2e-02    4    4  414    3    1    2    0  true
clplatec    CR 5041 -5.021e-03 0.000e+00 7.3e-07 9.9e-02    5    5 10965    4    0    4    0  true
nasty    CR    2 4.136e-25 5.000e-01 1.3e-06 1.0e+00    2    2    3    1    0    1    0  true
palmer1c    CR    8 2.991e+03 3.453e+08 5.5e+01 5.2e+08    4    4   11    3    0    3    0  true
palmer1d    CR    7 2.791e+01 2.873e+07 3.5e-01 4.4e+07    5    5   19    4    0    4    0  true
palmer2c    CR    8 9.810e+01 2.689e+07 4.7e+00 3.9e+07    4    4   11    3    0    3    0  true
palmer3c    CR    8 5.437e+01 8.122e+06 3.4e+00 1.1e+07    4    4   11    3    0    3    0  true
palmer4c    CR    8 6.123e+01 8.094e+06 3.5e+00 1.1e+07    4    4   11    3    0    3    0  true
palmer5c    CR    6 2.128e+00 2.549e+04 4.7e-04 1.1e+03    7    7   24    6    0    6    0  true
palmer5d    CR    4 8.734e+01 2.226e+04 7.1e-04 2.0e+03    8    8   25    7    0    7    0  true
palmer6c    CR    8 1.810e+01 7.722e+05 7.8e-01 1.1e+06    3    3    8    2    0    2    0  true
palmer7c    CR    8 4.446e+01 3.205e+06 1.8e+00 4.7e+06    4    4   12    3    0    3    0  true
palmer8c    CR    8 2.251e+01 8.503e+05 1.1e+00 1.2e+06    4    4   12    3    0    3    0  true
beale    CR    2 4.557e-01 1.420e+01 2.7e-05 2.8e+01  242  163  634  241   82   80   79  true
brownbs    CR    2 0.000e+00 1.000e+12 0.0e+00 2.0e+06   17   17   37   16    1   15    0  true
chnrosnb_mod    CR  100 2.487e-08 1.764e+04 6.7e-04 6.4e+03  184  122 1901  183   56   65   62  true
errinros_mod    CR  100 7.858e+01 3.140e+05 1.4e-01 1.9e+05   30   18  220   29    4   13   12  true
fletcbv3_mod    CR  100 -2.047e+00 -1.879e-02 1.6e-08 1.6e-03   43   39  103   42   34    4    4  true
genrose_nash    CR  100 1.000e+00 4.041e+02 4.1e-05 1.3e+02   96   77  931   95   54   22   19  true
meyer3    CR    3 1.125e+05 1.694e+09 7.1e+03 8.7e+10   14   10   34   13    4    5    4  true
scosine    CR  100 -9.900e+01 8.688e+01 7.7e-04 8.1e+02  262  242 38423  261   56  185   20  true
