model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #r #Av #A'v #it #s_it #vs_it #rej_it optimal
hs18 lsmr 2 1.9e-10 2.0e+00 1.9e-06 2.0e+00 4 10 10 3 0 3 0 true
hs20 lsmr 2 6.5e-12 4.5e+02 1.6e-06 1.2e+03 32 113 113 31 19 6 6 true
hs21 lsmr 2 4.7e-11 5.0e-01 9.7e-07 1.0e+00 4 10 10 3 0 3 0 true
hs22 lsmr 2 0.0e+00 5.0e-01 0.0e+00 1.0e+00 2 4 3 1 0 1 0 true
hs23 lsmr 2 9.9e-31 5.0e+00 1.4e-15 3.2e+00 2 4 4 1 0 1 0 true
hs25 lsmr 3 1.6e+01 1.6e+01 1.0e-08 1.0e-08 1 1 1 0 0 0 0 true
hs26 lsmr 3 3.1e-09 1.1e+01 2.0e-06 6.5e+00 12 38 38 11 9 0 2 true
hs27 lsmr 3 5.9e-09 2.0e+00 5.5e-06 8.3e+00 22 70 70 21 7 6 8 true
hs28 lsmr 3 4.9e-32 6.5e+00 3.1e-16 3.7e+00 2 5 5 1 0 1 0 true
hs30 lsmr 3 0.0e+00 1.5e+00 0.0e+00 1.7e+00 2 4 3 1 0 1 0 true
hs31 lsmr 3 1.5e-36 9.5e+00 1.7e-18 1.3e+01 5 14 14 4 0 4 0 true
hs32 lsmr 3 5.3e-39 3.6e+00 2.5e-19 9.9e+00 5 14 14 4 0 4 0 true
hs42 lsmr 4 0.0e+00 7.0e+00 0.0e+00 3.7e+00 2 4 3 1 0 1 0 true
hs43 lsmr 4 1.1e-30 4.0e+01 1.9e-15 1.2e+01 2 5 5 1 0 1 0 true
hs46 lsmr 5 2.1e-08 1.7e+00 2.3e-06 3.9e+00 8 34 34 7 7 0 0 true
hs48 lsmr 5 0.0e+00 4.2e+01 0.0e+00 1.3e+01 5 14 14 4 0 4 0 true
hs49 lsmr 5 6.8e-07 1.3e+02 6.3e-05 1.3e+02 8 29 29 7 7 0 0 true
hs50 lsmr 5 6.3e-07 3.8e+03 1.1e-04 6.5e+02 9 43 43 8 5 3 0 true
hs51 lsmr 5 1.5e-31 4.3e+00 5.7e-16 3.3e+00 2 5 5 1 0 1 0 true
hs52 lsmr 5 0.0e+00 2.1e+01 0.0e+00 2.4e+01 5 18 18 4 0 4 0 true
hs53 lsmr 5 1.5e-31 3.0e+00 7.0e-16 3.2e+00 2 5 5 1 0 1 0 true
hs57 lsmr 2 2.5e-03 1.5e-02 5.1e-08 8.0e-02 26 84 84 25 1 12 12 true
hs60 lsmr 3 5.3e-10 5.0e-01 5.2e-07 1.0e+00 11 46 43 10 8 0 2 true
hs61 lsmr 3 4.7e-30 8.6e+01 5.0e-15 2.2e+01 2 5 5 1 0 1 0 true
hs65 lsmr 3 0.0e+00 6.8e+01 0.0e+00 1.5e+01 6 22 22 5 0 5 0 true
hs77 lsmr 5 2.1e-08 2.0e+00 2.3e-06 3.9e+00 8 38 38 7 7 0 0 true
hs79 lsmr 5 1.9e-09 5.0e-01 8.8e-07 1.0e+00 13 70 67 12 9 0 3 true
mgh01 lsmr 2 1.3e-12 1.2e+01 7.2e-07 1.2e+02 31 109 109 30 16 7 7 true
mgh02 lsmr 2 2.4e+01 2.0e+02 3.7e-04 6.4e+02 31 99 99 30 20 0 10 true
mgh03 lsmr 2 3.5e-03 5.7e-01 7.0e-03 1.0e+04 17 53 53 16 4 5 7 true
mgh04 lsmr 2 5.1e-09 5.0e+11 1.0e-04 1.0e+06 18 59 59 17 2 15 0 true
mgh05 lsmr 2 5.0e-26 7.1e+00 1.6e-12 1.4e+01 13 43 43 12 5 5 2 true
mgh06 lsmr 2 6.2e+01 2.1e+03 1.7e-02 4.7e+04 21 66 66 20 8 0 12 true
mgh07 lsmr 3 3.1e+00 3.1e+02 8.7e-14 2.5e+02 2 4 4 1 0 1 0 true
mgh08 lsmr 3 4.1e-03 2.1e+01 1.5e-05 4.2e+01 9 34 34 8 2 6 0 true
mgh09 lsmr 3 5.6e-09 1.9e-06 1.4e-09 3.7e-03 3 8 8 2 0 2 0 true
mgh10 lsmr 3 5.6e+04 8.5e+08 2.6e+02 4.4e+10 14 44 44 13 4 5 4 true
mgh12 lsmr 3 4.0e-10 5.2e+02 2.6e-06 7.5e+01 11 39 39 10 4 5 1 true
mgh13 lsmr 4 2.6e-07 4.4e+01 6.6e-05 8.1e+01 8 40 40 7 7 0 0 true
mgh14 lsmr 4 3.9e+00 9.6e+03 4.7e-04 8.2e+03 8 28 28 7 3 4 0 true
mgh15 lsmr 4 1.5e-04 2.7e-03 7.1e-07 6.7e-02 19 100 100 18 14 1 3 true
mgh16 lsmr 4 4.3e+04 4.0e+06 5.5e-01 1.1e+06 26 96 96 25 16 0 9 true
mgh17 lsmr 5 3.8e-05 4.4e-01 5.8e-05 2.1e+02 18 73 73 17 8 4 5 true
mgh18 lsmr 6 2.8e-03 3.9e-01 1.1e-06 1.3e+00 19 91 91 18 10 5 3 true
mgh19 lsmr 11 4.4e-02 1.6e+01 7.1e-06 2.2e+01 57 507 507 56 39 5 12 true
mgh20 lsmr 6 1.1e-03 1.5e+01 1.3e-05 6.8e+01 11 55 55 10 6 4 0 true
mgh21 lsmr 20 2.2e-11 1.2e+02 3.0e-06 3.7e+02 31 110 110 30 17 7 6 true
mgh22 lsmr 20 5.5e-06 5.4e+02 4.0e-04 5.1e+02 9 44 44 8 7 1 0 true
mgh23 lsmr 4 1.2e-05 4.4e+02 1.1e-05 3.3e+02 7 19 19 6 4 2 0 true
mgh24 lsmr 4 1.8e-06 1.2e+00 4.2e-07 8.4e+00 18 67 67 17 3 4 10 true
mgh25 lsmr 10 3.7e-06 1.1e+06 5.3e-02 2.2e+06 9 25 25 8 5 3 0 true
mgh26 lsmr 10 1.4e-05 3.5e-03 6.4e-07 5.0e-02 29 245 245 28 12 2 14 true
mgh27 lsmr 10 3.1e-07 1.4e+02 7.8e-05 1.7e+02 5 14 14 4 1 3 0 true
mgh28 lsmr 10 2.0e-16 3.9e-04 4.0e-09 2.0e-02 4 35 35 3 0 3 0 true
mgh29 lsmr 10 2.4e-17 3.2e-02 7.1e-09 3.1e-01 4 14 14 3 0 3 0 true
mgh30 lsmr 10 1.2e-11 1.1e+01 2.1e-05 2.5e+01 6 33 33 5 1 4 0 true
mgh31 lsmr 10 1.4e-12 1.8e+02 9.9e-06 4.1e+02 7 27 27 6 2 4 0 true
mgh32 lsmr 10 5.0e+00 2.5e+01 7.0e-16 6.3e+00 2 4 4 1 0 1 0 true
mgh33 lsmr 10 2.3e+00 4.3e+06 1.4e-09 3.1e+06 2 4 4 1 0 1 0 true
mgh34 lsmr 10 3.1e+00 2.0e+06 4.3e-10 1.6e+06 2 4 4 1 0 1 0 true
mgh35 lsmr 10 3.3e-03 1.7e-02 1.1e-06 6.7e-01 30 228 228 29 12 2 15 true
ARGTRIG lsmr 200 8.9e-09 3.3e+01 1.6e-04 1.3e+03 9 631 631 8 0 8 0 true
BA-L16 lsmr 200 8.9e-09 3.3e+01 1.6e-04 1.3e+03 9 631 631 8 0 8 0 true
BA-L1 lsmr 57 2.3e-10 6.4e+04 2.2e-02 3.1e+05 7 34 34 6 1 5 0 true
BA-L73 lsmr 33753 2.2e+07 1.2e+08 7.7e+06 3.1e+08 10001 32592 32592 10000 9963 14 23 false
BROYDN3D lsmr 5000 1.5e-11 2.5e+03 2.0e-05 2.8e+02 7 36 36 6 1 5 0 true
BROYDNBD lsmr 5000 1.5e-08 6.2e+04 3.7e-04 3.9e+03 12 77 77 11 6 5 0 true
DMN15103 lsmr 99 2.4e+02 2.0e+06 3.5e+01 5.3e+07 77 1725 1725 76 28 23 25 true
DMN15332 lsmr 66 1.1e+02 2.5e+05 4.6e+00 5.8e+06 179 3298 3298 178 87 44 47 true
DMN15333 lsmr 99 7.5e+01 2.4e+05 3.8e+00 5.5e+06 171 6922 6922 170 47 61 62 true
DMN37142 lsmr 66 1.1e+02 1.3e+05 3.1e+00 3.8e+06 145 2190 2190 144 114 13 17 true
DMN37143 lsmr 99 1.7e+02 7.5e+04 3.3e+00 3.8e+06 32 137 137 31 10 9 12 true
EIGENA lsmr 2550 1.8e-07 2.0e+04 2.9e-04 4.5e+02 100 4095 4095 99 23 41 35 true
EIGENB lsmr 2550 6.3e-06 5.0e+01 3.7e-06 1.9e+01 1192 74133 74133 1191 361 412 418 true
EIGENC lsmr 2652 2.4e-06 5.6e+03 8.2e-05 2.4e+02 430 53610 53610 429 121 152 156 true
INTEQNE lsmr 12 2.4e-17 3.2e-02 7.1e-09 3.1e-01 4 14 14 3 0 3 0 true
MSQRTA lsmr 1024 5.5e-07 4.0e+03 7.4e-05 1.7e+02 47 16071 16071 46 14 15 17 true
MSQRTB lsmr 1024 2.2e-08 4.0e+03 1.6e-05 1.7e+02 34 6992 6992 33 10 12 11 true
SPMSQRT lsmr 4999 1.7e-10 2.1e+03 2.6e-05 3.9e+01 13 242 242 12 5 7 0 true
YATP1SQ lsmr 123200 1.6e-01 1.3e+09 2.3e+00 8.1e+06 20 60 60 19 4 9 6 true
YATP2SQ lsmr 123200 3.0e-08 3.8e+09 1.3e-02 3.8e+05 35 102 102 34 21 11 2 true
