model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #r #Av #A'v #it #s_it #vs_it #rej_it optimal
mgh10 lsqr 3 5.6e+04 8.5e+08 2.6e+02 4.4e+10 14 44 44 13 4 5 4 true
mgh12 lsqr 3 5.1e-10 5.2e+02 2.5e-06 7.5e+01 12 42 42 11 5 5 1 true
mgh13 lsqr 4 1.4e-07 4.4e+01 4.0e-05 8.1e+01 8 42 42 7 7 0 0 true
mgh14 lsqr 4 3.9e+00 9.6e+03 5.3e-04 8.2e+03 8 28 28 7 3 4 0 true
mgh15 lsqr 4 1.5e-04 2.7e-03 9.0e-07 6.7e-02 18 94 94 17 13 1 3 true
mgh16 lsqr 4 4.3e+04 4.0e+06 6.4e-01 1.1e+06 32 111 111 31 21 0 10 true
mgh17 lsqr 5 3.5e-05 4.4e-01 1.2e-04 2.1e+02 32 149 149 31 10 9 12 true
mgh18 lsqr 6 2.8e-03 3.9e-01 5.6e-07 1.3e+00 25 113 113 24 9 9 6 true
mgh19 lsqr 11 4.4e-02 1.6e+01 1.0e-05 2.2e+01 66 618 618 65 48 5 12 true
mgh20 lsqr 6 1.1e-03 1.5e+01 1.7e-05 6.8e+01 10 48 48 9 5 4 0 true
mgh21 lsqr 20 1.8e-11 1.2e+02 2.7e-06 3.7e+02 33 112 112 32 15 9 8 true
mgh22 lsqr 20 4.0e-06 5.4e+02 3.5e-04 5.1e+02 9 44 44 8 7 1 0 true
mgh23 lsqr 4 1.2e-05 4.4e+02 1.1e-05 3.3e+02 7 19 19 6 4 2 0 true
mgh24 lsqr 4 1.8e-06 1.2e+00 4.2e-07 8.4e+00 18 67 67 17 3 4 10 true
mgh25 lsqr 10 3.7e-06 1.1e+06 5.3e-02 2.2e+06 9 25 25 8 5 3 0 true
mgh26 lsqr 10 1.4e-05 3.5e-03 3.4e-07 5.0e-02 34 212 212 33 16 2 15 true
mgh27 lsqr 10 3.1e-07 1.4e+02 7.8e-05 1.7e+02 5 14 14 4 1 3 0 true
mgh28 lsqr 10 4.8e-16 3.9e-04 6.2e-09 2.0e-02 3 25 25 2 0 2 0 true
mgh29 lsqr 10 2.3e-17 3.2e-02 7.0e-09 3.1e-01 4 14 14 3 0 3 0 true
mgh30 lsqr 10 7.1e-12 1.1e+01 1.8e-05 2.5e+01 6 33 33 5 1 4 0 true
mgh31 lsqr 10 1.3e-12 1.8e+02 1.0e-05 4.1e+02 7 27 27 6 2 4 0 true
mgh32 lsqr 10 5.0e+00 2.5e+01 2.5e-16 6.3e+00 2 4 4 1 0 1 0 true
mgh33 lsqr 10 2.3e+00 4.3e+06 1.1e-09 3.1e+06 2 4 4 1 0 1 0 true
mgh34 lsqr 10 3.1e+00 2.0e+06 6.0e-10 1.6e+06 2 4 4 1 0 1 0 true
mgh35 lsqr 10 3.3e-03 1.7e-02 1.1e-06 6.7e-01 36 267 267 35 19 1 15 true
ARGTRIG lsqr 200 1.1e-11 3.3e+01 7.6e-05 1.3e+03 8 654 654 7 0 7 0 true
BA-L16 lsqr 200 1.1e-11 3.3e+01 7.6e-05 1.3e+03 8 654 654 7 0 7 0 true
BA-L1 lsqr 57 1.7e-09 6.4e+04 7.1e-02 3.1e+05 7 35 35 6 1 5 0 true
BA-L73 lsqr 33753 7.4e+07 1.2e+08 5.3e+07 3.1e+08 10001 37754 37754 10000 9811 88 101 false
BROYDN3D lsqr 5000 1.1e-10 2.5e+03 6.6e-05 2.8e+02 7 35 35 6 1 5 0 true
BROYDNBD lsqr 5000 2.4e-07 6.2e+04 1.8e-03 3.9e+03 12 62 62 11 6 5 0 true
DMN15103 lsqr 99 1.7e+02 2.0e+06 3.8e+01 5.3e+07 174 2075 2075 173 90 40 43 true
DMN15332 lsqr 66 5.5e+02 2.5e+05 5.5e+00 5.8e+06 957 11189 11189 956 912 19 25 true
DMN15333 lsqr 99 4.7e+01 2.4e+05 5.4e+00 5.5e+06 1888 34421 34421 1887 1799 41 47 true
DMN37142 lsqr 66 1.1e+02 1.3e+05 3.7e+00 3.8e+06 114 1324 1324 113 97 5 11 true
DMN37143 lsqr 99 1.4e+02 7.5e+04 5.1e-01 3.8e+06 97 439 439 96 25 36 35 true
EIGENA lsqr 2550 4.7e-08 2.0e+04 2.3e-05 4.5e+02 95 3943 3943 94 32 35 27 true
EIGENB lsqr 2550 9.6e-07 5.0e+01 4.3e-06 1.9e+01 995 75269 75269 994 756 116 122 true
EIGENC lsqr 2652 1.5e-08 5.6e+03 1.5e-04 2.4e+02 408 39554 39554 407 235 84 88 true
INTEQNE lsqr 12 2.3e-17 3.2e-02 7.0e-09 3.1e-01 4 14 14 3 0 3 0 true
MSQRTA lsqr 1024 2.3e-09 4.0e+03 1.7e-05 1.7e+02 36 7492 7492 35 14 10 11 true
MSQRTB lsqr 1024 8.0e-11 4.0e+03 4.3e-06 1.7e+02 31 5290 5290 30 13 8 9 true
SPMSQRT lsqr 4999 1.6e-13 2.1e+03 3.3e-07 3.9e+01 12 291 291 11 5 6 0 true
YATP1SQ lsqr 123200 1.6e-01 1.3e+09 2.3e+00 8.1e+06 26 81 81 25 5 11 9 true
YATP2SQ lsqr 123200 2.3e-08 3.8e+09 1.1e-02 3.8e+05 35 102 102 34 21 11 2 true
